date,id,value
1990-06-01,p_nf_pretax_gross,8.796959099241068
1990-09-01,p_nf_pretax_gross,8.029725702034177
1990-12-01,p_nf_pretax_gross,7.873217282966306
1991-03-01,p_nf_pretax_gross,8.420106133184234
1991-06-01,p_nf_pretax_gross,8.396292766333934
1991-09-01,p_nf_pretax_gross,8.292451161698668
1991-12-01,p_nf_pretax_gross,8.078432140136298
1992-03-01,p_nf_pretax_gross,8.280339474288857
1992-06-01,p_nf_pretax_gross,8.46559571117831
1992-09-01,p_nf_pretax_gross,8.306644907724158
1992-12-01,p_nf_pretax_gross,8.940823943104506
1993-03-01,p_nf_pretax_gross,8.81260033388787
1993-06-01,p_nf_pretax_gross,9.569242470909264
1993-09-01,p_nf_pretax_gross,9.647830187908255
1993-12-01,p_nf_pretax_gross,10.581306178064924
1994-03-01,p_nf_pretax_gross,10.76034843950117
1994-06-01,p_nf_pretax_gross,11.14691722624345
1994-09-01,p_nf_pretax_gross,11.475618114558982
1994-12-01,p_nf_pretax_gross,11.978658950957431
1995-03-01,p_nf_pretax_gross,11.516621196811071
1995-06-01,p_nf_pretax_gross,11.563723913803459
1995-09-01,p_nf_pretax_gross,12.229290247513761
1995-12-01,p_nf_pretax_gross,12.254499594430387
1996-03-01,p_nf_pretax_gross,12.61865018523711
1996-06-01,p_nf_pretax_gross,12.67811245356647
1996-09-01,p_nf_pretax_gross,12.653649710786532
1996-12-01,p_nf_pretax_gross,12.834331450628673
1997-03-01,p_nf_pretax_gross,12.890062276185551
1997-06-01,p_nf_pretax_gross,12.844015961181956
1997-09-01,p_nf_pretax_gross,13.290853816827466
1997-12-01,p_nf_pretax_gross,12.768755965812659
1998-03-01,p_nf_pretax_gross,11.645673501152661
1998-06-01,p_nf_pretax_gross,11.603001845288208
1998-09-01,p_nf_pretax_gross,11.78451636371313
1998-12-01,p_nf_pretax_gross,11.084902485224745
1999-03-01,p_nf_pretax_gross,11.27766998085629
1999-06-01,p_nf_pretax_gross,11.095459988484999
1999-09-01,p_nf_pretax_gross,10.374364648739034
1999-12-01,p_nf_pretax_gross,9.905278478243783
2000-03-01,p_nf_pretax_gross,9.429604699767488
2000-06-01,p_nf_pretax_gross,9.266585298031153
2000-09-01,p_nf_pretax_gross,8.659201948024965
2000-12-01,p_nf_pretax_gross,7.8286318390487875
2001-03-01,p_nf_pretax_gross,7.363730103662856
2001-06-01,p_nf_pretax_gross,7.442574238709696
2001-09-01,p_nf_pretax_gross,7.206583687083191
2001-12-01,p_nf_pretax_gross,6.1730707446972435
2002-03-01,p_nf_pretax_gross,7.780609466952052
2002-06-01,p_nf_pretax_gross,8.31241426046785
2002-09-01,p_nf_pretax_gross,8.699555071968994
2002-12-01,p_nf_pretax_gross,9.718234412969416
2003-03-01,p_nf_pretax_gross,9.755236972901269
2003-06-01,p_nf_pretax_gross,10.114142777686125
2003-09-01,p_nf_pretax_gross,10.611262149631443
2003-12-01,p_nf_pretax_gross,10.94810447308205
2004-03-01,p_nf_pretax_gross,11.936642361498576
2004-06-01,p_nf_pretax_gross,12.46057300349309
2004-09-01,p_nf_pretax_gross,12.824119700516968
2004-12-01,p_nf_pretax_gross,12.564196118413227
2005-03-01,p_nf_pretax_gross,13.222712486795029
2005-06-01,p_nf_pretax_gross,13.851506874715724
